"id","name","population","area","density","metro","stops"
1,Адмиралтейский,155981,13.82,11286.6,9,187
18,Центральный,200654,17.77,11291.7,11,217
2,Василеостровский,206680,21.47,9626.50,2,213
13,Петроградский,115757,19.54,5924.10,6,176
3,Выборгский,541590,115.52,4688.30,6,629
4,Калининский,536794,40.18,13359,5,478
5,Кировский,335774,47.46,7074.90,5,286
6,Колпинский,186169,102.25,1820.70,,252
7,Красногвардейский,366971,56.35,6512.40,2,451
8,Красносельский,431546,90.49,4769.00,,445
9,Кронштадтский,44414,19.53,2274.10,,62
10,Курортный,83491,268.19,311.30,,307
11,Московский,335221,73.07,4587.70,6,392
12,Невский,547896,60.66,9032.20,7,486
14,Петродворцовый,134148,107.08,1252.80,,322
15,Приморский,699243,109.90,6362.50,5,645
16,Пушкинский,263732,240.09,1098.50,1,365
17,Фрунзенский,413983,37.52,11033.7,7,373
